timeStamp;elapsed;label;responseCode;responseMessage;threadName;dataType;success;failureMessage;bytes;sentBytes;grpThreads;allThreads;URL;Latency;IdleTime;Connect
1,66975E+12;8572;Consultar Demandas;200;;Consultas 2-30;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;8091;0;168
1,66975E+12;8850;Consultar Demandas;200;;Consultas 2-32;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;8361;0;160
1,66975E+12;1491;Consultar Pets;200;;Consultas 2-23;text;true;;27409;157;200;200;http://52.203.70.101:8080/pets;1319;0;0
1,66975E+12;8878;Consultar Demandas;200;;Consultas 2-33;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;8373;0;158
1,66975E+12;8942;Consultar Demandas;200;;Consultas 2-37;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;8445;0;152
1,66975E+12;8963;Consultar Demandas;200;;Consultas 2-34;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;8452;0;158
1,66975E+12;1417;Consultar Pets;200;;Consultas 2-22;text;true;;27409;157;200;200;http://52.203.70.101:8080/pets;1256;0;0
1,66975E+12;9760;Consultar Demandas;200;;Consultas 2-39;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;9253;0;159
1,66975E+12;9780;Consultar Demandas;200;;Consultas 2-40;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;9295;0;153
1,66975E+12;1001;Consultar Instituições;200;;Consultas 2-23;text;true;;6482;165;200;200;http://52.203.70.101:8080/instituicoes;1001;0;0
1,66975E+12;9945;Consultar Demandas;200;;Consultas 2-43;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;9455;0;163
1,66975E+12;10127;Consultar Demandas;200;;Consultas 2-44;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;9643;0;156
1,66975E+12;10195;Consultar Demandas;200;;Consultas 2-46;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;9715;0;163
1,66975E+12;10254;Consultar Demandas;200;;Consultas 2-52;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;9763;0;161
1,66975E+12;1792;Consultar Pets;200;;Consultas 2-30;text;true;;27409;157;200;200;http://52.203.70.101:8080/pets;1626;0;0
1,66975E+12;2264;Consultar Demandas;200;;Consultas 2-194;text;true;;129405;161;200;200;http://52.203.70.101:8080/demandas;1794;0;0
1,66975E+12;10354;Consultar Demandas;200;;Consultas 2-48;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;9888;0;161
1,66975E+12;10404;Consultar Demandas;200;;Consultas 2-51;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;9933;0;152
1,66975E+12;10428;Consultar Demandas;200;;Consultas 2-50;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;9946;0;156
1,66975E+12;857;Consultar usuarios;200;;Consultas 2-23;text;true;;86274;161;199;199;http://52.203.70.101:8080/usuarios;530;0;0
1,66975E+12;953;Consultar Instituições;200;;Consultas 2-30;text;true;;6482;165;199;199;http://52.203.70.101:8080/instituicoes;953;0;0
1,66975E+12;11330;Consultar Demandas;200;;Consultas 2-53;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;10855;0;151
1,66975E+12;11389;Consultar Demandas;200;;Consultas 2-54;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;10896;0;158
1,66975E+12;11484;Consultar Demandas;200;;Consultas 2-57;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;11010;0;157
1,66975E+12;11580;Consultar Demandas;200;;Consultas 2-58;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;11103;0;151
1,66975E+12;11631;Consultar Demandas;200;;Consultas 2-59;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;11144;0;152
1,66975E+12;11684;Consultar Demandas;200;;Consultas 2-60;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;11197;0;158
1,66975E+12;11696;Consultar Demandas;200;;Consultas 2-65;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;11202;0;150
1,66975E+12;11708;Consultar Demandas;200;;Consultas 2-63;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;11217;0;159
1,66975E+12;11761;Consultar Demandas;200;;Consultas 2-62;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;11278;0;159
1,66975E+12;11885;Consultar Demandas;200;;Consultas 2-66;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;11405;0;164
1,66975E+12;12529;Consultar Demandas;200;;Consultas 2-64;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;12051;0;164
1,66975E+12;12585;Consultar Demandas;200;;Consultas 2-67;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;12110;0;161
1,66975E+12;12870;Consultar Demandas;200;;Consultas 2-69;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;12372;0;159
1,66975E+12;13033;Consultar Demandas;200;;Consultas 2-70;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;12534;0;159
1,66975E+12;13036;Consultar Demandas;200;;Consultas 2-71;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;12529;0;162
1,66975E+12;1558;Consultar Pets;200;;Consultas 2-58;text;true;;27409;157;199;199;http://52.203.70.101:8080/pets;1399;0;0
1,66975E+12;13124;Consultar Demandas;200;;Consultas 2-72;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;12625;0;163
1,66975E+12;1555;Consultar Pets;200;;Consultas 2-59;text;true;;27409;157;199;199;http://52.203.70.101:8080/pets;1382;0;0
1,66975E+12;13114;Consultar Demandas;200;;Consultas 2-76;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;12622;0;149
1,66975E+12;13132;Consultar Demandas;200;;Consultas 2-75;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;12645;0;155
1,66975E+12;13192;Consultar Demandas;200;;Consultas 2-73;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;12682;0;159
1,66975E+12;13253;Consultar Demandas;200;;Consultas 2-77;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;12755;0;155
1,66975E+12;1727;Consultar Pets;200;;Consultas 2-62;text;true;;27409;157;199;199;http://52.203.70.101:8080/pets;1577;0;0
1,66975E+12;2034;Consultar Pets;200;;Consultas 2-65;text;true;;27409;157;199;199;http://52.203.70.101:8080/pets;1874;0;0
1,66975E+12;1145;Consultar Pets;200;;Consultas 2-67;text;true;;27409;157;199;199;http://52.203.70.101:8080/pets;1144;0;0
1,66975E+12;305;Consultar Instituições;200;;Consultas 2-62;text;true;;6482;165;199;199;http://52.203.70.101:8080/instituicoes;305;0;0
